"city","max_price_per_sqft"
Bellevue,3481.0
Kirkland,2757.0
Lakewood,2647.0
Seattle,2623.0
Medina,2282.0
Vancouver,2276.0
Bellingham,2073.0
Port Orchard,2049.0
Puyallup,2037.0
Lynnwood,2030.0
Olympia,1974.0
Mercer Island,1876.0
Duvall,1827.0
Clyde Hill,1714.0
Lynden,1561.0
Issaquah,1490.0
Chelan,1378.0
Woodinville,1342.0
Bainbridge Island,1311.0
Leavenworth,1305.0
Mount Vernon,1300.0
Renton,1269.0
Port Angeles,1266.0
Sedro Woolley,1241.0
Gold Bar,1193.0
Yarrow Point,1190.0
Lake Wenatchee,1169.0
Battle Ground,1075.0
Snohomish,1062.0
Sammamish,1061.0
Redmond,1058.0
Newport,1035.0
Port Townsend,1028.0
Anacortes,1020.0
Gig Harbor,1015.0
Cle Elum,1004.0
Burien,1000.0
Poulsbo,980.0
Ferndale,969.0
Edmonds,942.0
Shoreline,908.0
Blaine,904.0
Goldendale,833.0
Lake Stevens,793.0
Kenmore,792.0
Birch Bay,792.0
Tacoma,790.0
Mountlake Terrace,787.0
Newcastle,761.0
Mossyrock,760.0
Bothell,757.0
Carnation,746.0
Monroe,745.0
Washougal,744.0
Everett,735.0
Langley,729.0
Ellensburg,727.0
Woodland,706.0
North Bend,703.0
Yakima,703.0
Ridgefield,701.0
Long Beach,694.0
Wenatchee,693.0
Sequim,689.0
Burlington,688.0
Republic,686.0
Mukilteo,685.0
Bonney Lake,680.0
Spokane,679.0
Oak Harbor,670.0
Woodway,666.0
La Center,666.0
Sumas,663.0
Des Moines,639.0
Buckley,627.0
Snoqualmie,625.0
Enumclaw,621.0
Marysville,618.0
Auburn,607.0
Lake Forest Park,605.0
Everson,604.0
Brier,603.0
Bremerton,603.0
Mill Creek,598.0
Kent,591.0
Arlington,589.0
Granite Falls,588.0
Normandy Park,585.0
Benton City,584.0
Black Diamond,583.0
Spokane Valley,581.0
Federal Way,579.0
Longview,577.0
Maple Valley,556.0
Oroville,554.0
White Salmon,552.0
Ocean Shores,552.0
Lacey,547.0
Roy,547.0
Covington,536.0
Camas,536.0
Preston,529.0
Colville,526.0
Westport,521.0
Soap Lake,519.0
East Wenatchee,517.0
Centralia,511.0
Kettle Falls,505.0
Stanwood,502.0
Seatac,499.0
Kelso,496.0
Steilacoom,495.0
Forks,492.0
Richland,490.0
Orting,483.0
Algona,478.0
Quincy,475.0
Edgewood,466.0
Liberty Lake,466.0
Roslyn,464.0
Shelton,462.0
Hoquiam,458.0
Moses Lake,458.0
University Place,452.0
Milton,450.0
Chehalis,446.0
Sultan,441.0
Cheney,435.0
Yacolt,432.0
Pullman,428.0
Selah,425.0
Fircrest,422.0
Toledo,417.0
Kennewick,413.0
Castle Rock,410.0
Brush Prairie,399.0
Ruston,397.0
Fife,396.0
Tumwater,395.0
Walla Walla,393.0
Cashmere,393.0
Sumner,383.0
Asotin,381.0
Napavine,378.0
Grandview,376.0
Pacific,375.0
George,375.0
Pasco,374.0
Mattawa,368.0
Winlock,368.0
Elma,367.0
Tenino,366.0
Tukwila,366.0
Entiat,365.0
North Bonneville,365.0
Prosser,363.0
Airway Heights,362.0
Montesano,361.0
College Place,357.0
Othello,356.0
Tonasket,350.0
Lake Tapps,350.0
Clarkston,348.0
Rainier,340.0
Dupont,332.0
Aberdeen,331.0
Ilwaco,328.0
Zillah,326.0
Oakville,324.0
McCleary,323.0
Moxee,321.0
Rock Island,319.0
West Richland,311.0
Colfax,300.0
Vader,297.0
Toppenish,293.0
Ephrata,292.0
Ritzville,291.0
Tieton,288.0
Pomeroy,287.0
Mabton,278.0
Morton,275.0
Sunnyside,275.0
Waterville,269.0
Omak,263.0
Kittitas,262.0
Royal City,260.0
Waitsburg,258.0
Warden,254.0
Spangle,253.0
Raymond,253.0
Veradale,250.0
Greenacres,243.0
Pe Ell,240.0
Salmon Creek,240.0
South Bend,233.0
Connell,233.0
Nine Mile Falls,232.0
"",231.0
Kahlotus,231.0
Otis Orchards,230.0
Union Gap,226.0
Odessa,225.0
Granger,213.0
Tekoa,211.0
Wapato,196.0
Palouse,182.0
Monitor,156.0
Okanogan,130.0
Sprague,115.0
Hartline,30.0
Adna,0.0
Rosevalley,0.0
