"city","lowest_price"
Yarrow Point,4250000.0
Medina,3498000.0
Clyde Hill,3000000.0
Ruston,1499950.0
Preston,1295000.0
Lake Tapps,1139500.0
Brush Prairie,1020000.0
Woodway,998800.0
Lake Wenatchee,899000.0
Salmon Creek,775000.0
Brier,650000.0
Pacific,595000.0
Fircrest,520000.0
Normandy Park,514900.0
Maple Valley,475000.0
Langley,450000.0
North Bonneville,450000.0
Woodinville,440000.0
Monitor,434900.0
Mountlake Terrace,429000.0
Veradale,425000.0
Birch Bay,420000.0
Sammamish,419000.0
Mercer Island,410000.0
Rock Island,399950.0
Greenacres,399900.0
Dupont,399000.0
White Salmon,395000.0
Burlington,393000.0
Ilwaco,375000.0
Lake Forest Park,375000.0
Leavenworth,370000.0
Quincy,361900.0
Edgewood,359999.0
Granger,349900.0
Kittitas,349000.0
Roslyn,349000.0
Waitsburg,349000.0
Granite Falls,345000.0
University Place,333000.0
Palouse,330000.0
McCleary,320000.0
Mukilteo,319950.0
George,315000.0
Royal City,313500.0
La Center,310000.0
Everson,300000.0
Black Diamond,299950.0
Fife,299950.0
Pe Ell,299500.0
Wapato,299000.0
Redmond,295000.0
Mattawa,295000.0
Toledo,285000.0
Shoreline,284950.0
Issaquah,284621.0
Tieton,280000.0
Stanwood,279000.0
Edmonds,275000.0
Bellevue,275000.0
Nine Mile Falls,275000.0
Mill Creek,275000.0
Liberty Lake,274900.0
Lake Stevens,270000.0
Cashmere,269000.0
Adna,269000.0
Mabton,269000.0
Connell,260000.0
Ridgefield,250000.0
Pomeroy,250000.0
Battle Ground,249000.0
Washougal,239900.0
College Place,239000.0
Anacortes,237000.0
Otis Orchards,235000.0
Colfax,232000.0
Zillah,225000.0
Sultan,225000.0
Toppenish,220000.0
Othello,220000.0
Tukwila,218000.0
Bainbridge Island,210000.0
Lynden,209000.0
Algona,199950.0
Covington,199900.0
Tekoa,197000.0
Napavine,190000.0
Rosevalley,189900.0
Des Moines,187500.0
Spangle,183350.0
Sumner,182900.0
Burien,179000.0
Snoqualmie,174900.0
Ritzville,169000.0
Montesano,165000.0
Kirkland,155000.0
Airway Heights,150000.0
Duvall,150000.0
Forks,149000.0
Yacolt,148000.0
Union Gap,144500.0
Benton City,140000.0
Winlock,139000.0
Soap Lake,139000.0
Ferndale,134500.0
Kahlotus,125000.0
Republic,120000.0
Lakewood,120000.0
Newcastle,119500.0
Chehalis,119500.0
Milton,115500.0
Ellensburg,115000.0
Orting,115000.0
Bothell,114900.0
North Bend,114900.0
Entiat,112000.0
Sunnyside,110500.0
Wenatchee,109900.0
Carnation,109500.0
Sumas,105000.0
Warden,100000.0
Hartline,100000.0
Bonney Lake,99999.0
Lynnwood,99995.0
Seatac,99900.0
Omak,99900.0
Camas,99500.0
Woodland,99000.0
Federal Way,99000.0
Okanogan,97500.0
Monroe,95000.0
Everett,95000.0
Asotin,89700.0
Gig Harbor,85000.0
West Richland,85000.0
Seattle,84995.0
Richland,84990.0
Renton,82999.0
Sequim,79000.0
Moxee,79000.0
Kent,78000.0
East Wenatchee,75000.0
Grandview,75000.0
Walla Walla,75000.0
Newport,75000.0
Oak Harbor,75000.0
Gold Bar,75000.0
Cle Elum,74000.0
Selah,70000.0
Vancouver,69900.0
Raymond,69900.0
Buckley,69000.0
Oakville,69000.0
Auburn,68000.0
Oroville,65000.0
Pullman,62000.0
Poulsbo,60000.0
Mossyrock,59950.0
Tonasket,59000.0
Spokane Valley,58000.0
Moses Lake,56999.0
Port Angeles,55000.0
Kettle Falls,52000.0
Vader,50000.0
Arlington,49995.0
Lacey,49990.0
Long Beach,49900.0
Prosser,49900.0
Snohomish,48500.0
Marysville,48500.0
Morton,48500.0
Goldendale,48000.0
Kennewick,45000.0
Centralia,45000.0
Pasco,45000.0
Blaine,45000.0
Port Orchard,44000.0
Colville,42000.0
Mount Vernon,40000.0
Kelso,40000.0
Puyallup,39995.0
Shelton,37000.0
Rainier,35000.0
Roy,35000.0
Cheney,30000.0
Spokane,29999.0
Bremerton,27500.0
Olympia,26000.0
Elma,25000.0
Tenino,25000.0
Clarkston,24900.0
Port Townsend,24000.0
Hoquiam,23500.0
Longview,23000.0
Steilacoom,21999.0
Yakima,20576.0
Castle Rock,20000.0
Tumwater,20000.0
Sedro Woolley,20000.0
Tacoma,17500.0
Aberdeen,17000.0
Westport,16000.0
Sprague,15000.0
Bellingham,15000.0
Odessa,13500.0
Ocean Shores,10000.0
South Bend,10000.0
Kenmore,9995.0
Waterville,9900.0
Enumclaw,9000.0
Ephrata,8000.0
Chelan,3500.0
"",0.0
